2026-05-11 14:17:35.124 [virtual-61] WARN  p.g.m.r.i.o.f.ConciliacionFileWriter - [conciliacion] Contenido base64 inválido para archivo ACR_MEF_SUNAT_20260511.txt: Last unit does not have enough valid bits
2026-05-11 14:17:41.888 [http-nio-443-exec-8] WARN  p.g.m.r.a.u.ProcesarConciliacionUseCaseImpl - [conciliacion] Llamada recibida fuera de la ventana horaria permitida (00:00-00:30). Hora actual: 14:17:41.888229100. En producción esta solicitud sería rechazada.
2026-05-11 14:17:41.900 [http-nio-443-exec-8] INFO  p.g.m.r.i.o.f.ConciliacionFileWriter - [conciliacion] Metadatos registrados en .\data\conciliaciones-recibidas.jsonl – archivo: ACR_MEF_SUNAT_20260511.txt, lineas: 1
2026-05-11 14:17:41.903 [virtual-64] INFO  p.g.m.r.i.o.f.ConciliacionFileWriter - [conciliacion] Archivo plano guardado: .\data\conciliaciones\ACR_MEF_SUNAT_20260511.txt (8 bytes)
2026-05-11 14:17:50.280 [http-nio-443-exec-3] WARN  p.g.m.r.a.u.ProcesarConciliacionUseCaseImpl - [conciliacion] Llamada recibida fuera de la ventana horaria permitida (00:00-00:30). Hora actual: 14:17:50.280781. En producción esta solicitud sería rechazada.
2026-05-11 14:17:50.280 [http-nio-443-exec-3] WARN  p.g.m.r.a.u.ProcesarConciliacionUseCaseImpl - [conciliacion] No se pudo decodificar base64 para contar líneas: Cannot invoke "String.getBytes(java.nio.charset.Charset)" because "src" is null
2026-05-11 14:17:50.280 [http-nio-443-exec-3] INFO  p.g.m.r.i.o.f.ConciliacionFileWriter - [conciliacion] Metadatos registrados en .\data\conciliaciones-recibidas.jsonl – archivo: ACR_MEF_SUNAT_20260511.txt, lineas: 0
2026-05-11 14:21:40.544 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - Starting MsaServiceRecaudacionApplication using Java 25.0.2 with PID 47212 (D:\Proyecto\MEF\03-dev\_msa-arquetipo-Inter-SUNAT\msa-service-recaudacion\build\classes\java\main started by USER in D:\Proyecto\MEF\03-dev\_msa-arquetipo-Inter-SUNAT\msa-service-recaudacion)
2026-05-11 14:21:40.547 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-11 14:21:42.251 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 443 (http)
2026-05-11 14:21:42.267 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-443"]
2026-05-11 14:21:42.270 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-11 14:21:42.270 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.14]
2026-05-11 14:21:42.332 [main] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1746 ms
2026-05-11 14:21:44.587 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-05-11 14:21:44.872 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-443"]
2026-05-11 14:21:44.899 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 443 (http) with context path '/'
2026-05-11 14:21:44.905 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - Started MsaServiceRecaudacionApplication in 4.94 seconds (process running for 5.337)
2026-05-11 14:29:29.351 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - Starting MsaServiceRecaudacionApplication using Java 25.0.2 with PID 26172 (D:\Proyecto\MEF\03-dev\_msa-arquetipo-Inter-SUNAT\msa-service-recaudacion\build\classes\java\main started by USER in D:\Proyecto\MEF\03-dev\_msa-arquetipo-Inter-SUNAT\msa-service-recaudacion)
2026-05-11 14:29:29.354 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-11 14:29:30.754 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 443 (http)
2026-05-11 14:29:30.776 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-443"]
2026-05-11 14:29:30.780 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-11 14:29:30.781 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.14]
2026-05-11 14:29:30.866 [main] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1449 ms
2026-05-11 14:29:33.470 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-05-11 14:29:33.710 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-443"]
2026-05-11 14:29:33.735 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 443 (http) with context path '/'
2026-05-11 14:29:33.805 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - Started MsaServiceRecaudacionApplication in 5.225 seconds (process running for 5.661)
2026-05-11 14:29:46.203 [http-nio-443-exec-1] INFO  o.a.tomcat.util.http.parser.Cookie - A cookie header was received [g_state={"i_l":0,"i_ll":1778387221528,"i_e":{"enable_itp_optimization":23},"i_et":1778133609885,"i_b":"DXW3Yop/N3aerap7fSbVpiLSyr0GQ6Oiu4aHIgptaiE"}] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
2026-05-11 14:29:46.210 [http-nio-443-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-11 14:29:47.465 [http-nio-443-exec-9] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 533 ms
2026-05-11 14:36:26.378 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - Starting MsaServiceRecaudacionApplication using Java 25.0.2 with PID 20112 (D:\Proyecto\MEF\03-dev\_msa-arquetipo-Inter-SUNAT\msa-service-recaudacion\build\classes\java\main started by USER in D:\Proyecto\MEF\03-dev\_msa-arquetipo-Inter-SUNAT\msa-service-recaudacion)
2026-05-11 14:36:26.381 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-11 14:36:27.631 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 443 (http)
2026-05-11 14:36:27.643 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-443"]
2026-05-11 14:36:27.645 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-11 14:36:27.646 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.14]
2026-05-11 14:36:27.711 [main] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1286 ms
2026-05-11 14:36:30.327 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-05-11 14:36:30.539 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-443"]
2026-05-11 14:36:30.560 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 443 (http) with context path '/'
2026-05-11 14:36:30.569 [main] INFO  p.g.m.r.MsaServiceRecaudacionApplication - Started MsaServiceRecaudacionApplication in 4.68 seconds (process running for 5.043)
2026-05-11 14:36:39.238 [http-nio-443-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-11 14:37:15.953 [http-nio-443-exec-5] WARN  p.g.m.r.a.u.ProcesarConciliacionUseCaseImpl - [conciliacion] Llamada recibida fuera de la ventana horaria permitida (00:00-00:30). Hora actual: 14:37:15.953558100. En producción esta solicitud sería rechazada.
2026-05-11 14:37:15.961 [http-nio-443-exec-5] INFO  p.g.m.r.i.o.f.ConciliacionFileWriter - [conciliacion] Metadatos registrados en .\data\conciliaciones-recibidas.jsonl – archivo: ACR_MEF_SUNAT_20260511.txt, lineas: 12
2026-05-11 14:37:15.968 [virtual-56] INFO  p.g.m.r.i.o.f.ConciliacionFileWriter - [conciliacion] Archivo plano guardado: .\data\conciliaciones\ACR_MEF_SUNAT_20260511.txt (672 bytes)
2026-05-11 14:38:38.362 [http-nio-443-exec-7] INFO  o.a.tomcat.util.http.parser.Cookie - A cookie header was received [g_state={"i_l":0,"i_ll":1778387221528,"i_e":{"enable_itp_optimization":23},"i_et":1778133609885,"i_b":"DXW3Yop/N3aerap7fSbVpiLSyr0GQ6Oiu4aHIgptaiE"}] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
2026-05-11 14:38:39.537 [http-nio-443-exec-5] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 556 ms
2026-05-11 14:53:38.818 [http-nio-443-exec-8] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 237 ms
2026-05-11 15:05:00.162 [Test worker] INFO  p.g.m.r.MsaServiceRecaudacionIntegrationTest - Starting MsaServiceRecaudacionIntegrationTest using Java 25.0.2 with PID 43908 (started by USER in D:\Proyecto\MEF\03-dev\_msa-arquetipo-Inter-SUNAT\msa-service-recaudacion)
2026-05-11 15:05:00.164 [Test worker] INFO  p.g.m.r.MsaServiceRecaudacionIntegrationTest - No active profile set, falling back to 1 default profile: "default"
2026-05-11 15:05:01.500 [Test worker] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 0 (http)
2026-05-11 15:05:01.519 [Test worker] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-auto-1"]
2026-05-11 15:05:01.523 [Test worker] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-11 15:05:01.524 [Test worker] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.14]
2026-05-11 15:05:01.603 [Test worker] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1411 ms
2026-05-11 15:05:02.828 [Test worker] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-05-11 15:05:03.115 [Test worker] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-auto-1"]
2026-05-11 15:05:03.128 [Test worker] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 50819 (http) with context path '/'
